Sample Skill,Similar Skills
knockout,backbonejs(0.9694420695304871),knockout js(0.9612288475036621),xamarin(0.9542165994644165),ruby on rails(0.9525623917579651),ext.js.(0.94859778881073)
iis,xampp(0.9197412133216858),web server(0.9191789031028748),net(0.9158135056495667),visual studio .net(0.909725546836853),atom(0.8988871574401855)
visual studio .net,iis(0.9097256064414978),my sql(0.893051266670227),microsoft visual studio(0.8828044533729553),sql server(0.8771413564682007),sqlserver(0.8760920166969299)
ssas,sql server reporting(0.9861450791358948),microsoft ssrs(0.9820480942726135),dts(0.978252112865448),analysis services(0.9775614738464355),cubes(0.9750634431838989)
dts,microsoft ssrs(0.9832327365875244),ssas(0.9782522916793823),etl tool(0.9780646562576294),etl processes(0.9778599739074707),informatica power center.(0.9748806357383728)
ms sql server,ms sql(0.9802629351615906),microsoft sql server(0.9758021831512451),rdbms(0.9754621982574463),oracle 8i(0.9727582931518555),db2(0.9599489569664001)
business process re - engineering,risk analysis(0.9812621474266052),data gathering(0.979027271270752),development teams(0.9782098531723022),project plans(0.9772535562515259),ramp(0.9768733382225037)
client / server,client / server applications(0.9814064502716064),client - server(0.9665164947509766),web - based applications(0.9564776420593262),web based applications(0.946717381477356),implementing business(0.9447083473205566)
development projects,project life cycle(0.9764774441719055),application architecture(0.9746764302253723),leading team(0.9708774089813232),feasibility studies(0.9708065986633301),system architecture(0.969260036945343)
e - commerce.,iso(0.9744904637336731),risk management(0.9739162921905518),reengineering(0.9666333198547363),quality assurance systems(0.9655932188034058),auditing(0.9654621481895447)
re - engineering,process flow(0.994489848613739),feasibility studies(0.9803892970085144),performance indicators(0.9794660806655884),swift(0.976710855960846),swot analysis(0.975028395652771)
process re - engineering,cfd(0.9866577386856079),iso 9000(0.984366774559021),advent geneva(0.9842849373817444),wbs(0.9819624423980713),fsd(0.9818878769874573)
commerce.,counseling(0.987218976020813),direct marketing(0.9869827032089233),employee engagement(0.9859808683395386),staff development(0.9858726859092712),rhapsody(0.985446572303772)
servlet,jsp(0.9753799438476562),servlets(0.9457353353500366),j2se(0.9354947209358215),jdbc(0.9284979701042175),j2ee(0.9266500473022461)
mvc architecture,dao(0.9716540575027466),rest web services.(0.9649484157562256),spring framework(0.9640049934387207),dependency injection(0.958779513835907),spring core(0.9583463668823242)
spring mvc,hibernate(0.9815515279769897),jpa(0.9795029163360596),jsf(0.9766733050346375),ejb(0.9697099924087524),dependency injection(0.9689375162124634)
spring boot,spring(0.972416877746582),hibernate(0.9581140279769897),spring mvc(0.9551845788955688),"j2ee , spring(0.9505924582481384)",spring framework(0.9483171105384827)
boot,ibatis(0.9262498617172241),boot.(0.9223998785018921),spring - ioc(0.9164906144142151),hibernate(0.9159484505653381),jpa(0.9133686423301697)
application servers,apache tomcat(0.9828546643257141),application server(0.9750266075134277),web logic(0.969916582107544),websphere(0.9646227955818176),apache(0.961539089679718)
ood,object - oriented(0.9507364630699158),object oriented(0.941536545753479),architectures(0.9411592483520508),programming concepts(0.9410145878791809),apis(0.9354379177093506)
c language,taxes(0.9665966033935547),clustering(0.9514721632003784),ide tools(0.9490073323249817),hard worker(0.8947793841362),logic(0.8649448752403259)
goal - oriented,rapport(0.9895918369293213),promoting(0.9895270466804504),relationship - building(0.989254891872406),results driven(0.9881125688552856),organization skills(0.9873900413513184)
motivating,people management(0.9867910742759705),conflict resolution(0.9832333922386169),leadership development(0.9826922416687012),client relations(0.9817166328430176),presenting(0.9812898635864258)
work under pressure,good communication(0.9698105454444885),self starter(0.9696230888366699),goal oriented(0.968791663646698),hard work(0.9674328565597534),ready to learn(0.9609345197677612)
shell programming,smart grid(0.8363484740257263),programming proficiency(0.7891204953193665),mongodb.(0.7832596302032471),netbeans ide.(0.7413668036460876),hypothesis testing(0.7326714992523193)
ksh,linux administration(0.9396054148674011),cyberark(0.9285068511962891),linux adminstration(0.9250266551971436),"unix , shell(0.918961763381958)",windows administration(0.9186202883720398)
swing,jsf(0.9726953506469727),ejb(0.9658367037773132),java beans(0.9574477672576904),hibernate(0.9551771879196167),jpa(0.9550252556800842)
applets,rmi(0.9859360456466675),jndi(0.9641482830047607),java 6(0.9573323726654053),spring core(0.9491527080535889),javabeans(0.9486044645309448)
rmi,applets(0.985936164855957),jndi(0.9691269397735596),spring framework(0.9678935408592224),java 6(0.967755138874054),spring core(0.9677525162696838)
apache struts,spring core(0.9596720933914185),jmx(0.9587013721466064),mdb(0.9536559581756592),spring batch(0.9534770846366882),java beans(0.9525097608566284)
design pattern,ooad(0.9660369157791138),microservice architecture(0.9613995552062988),service oriented architecture(0.9593110680580139),development process(0.9584152102470398),sequence diagrams(0.947754442691803)
my sql,rdbms(0.9263008236885071),shell script(0.9131495952606201),sql(0.9124807119369507),ms sql server(0.9044584035873413),mysql(0.9030557870864868)
web / app,web / app.(0.960594892501831),web sphere(0.954533040523529),web servers(0.9449639320373535),web logic(0.9397962093353271),web server(0.9341108798980713)
glassfish,jdeveloper(0.9789708852767944),apache - tomcat(0.9713104963302612),intellij idea(0.9681797027587891),powerbuilder(0.9538263082504272),ibm rad(0.9486390352249146)
apache ant,stash(0.975184440612793),hotjar(0.9719483256340027),build management(0.9680096507072449),cm synergy(0.9670912623405457),jenkins ci(0.9601325988769531)
vim,ibm rsa(0.9258453845977783),winscp(0.9177708029747009),ms - powerpoint(0.9167970418930054),ibm rad(0.9120319485664368),pydev(0.9105821847915649)
log4j,ant(0.9809368252754211),junit(0.9589411020278931),build tool(0.9496098756790161),mockito(0.9475313425064087),multi - threading(0.9466288089752197)
windows 2000,windows server 2008.(0.9498294591903687),xp.(0.9334263205528259),hardware engineering(0.9271984100341797),build relationship(0.9226548075675964),windows server 2008(0.9191879630088806)
xp,vista(0.9933781027793884),windows xp(0.9876083135604858),windows 7(0.9718427658081055),dos(0.9594542384147644),windows 98(0.9588785767555237)
vista,xp(0.9933781623840332),windows xp(0.983166515827179),dos(0.9742336869239807),windows 7(0.9678911566734314),windows 8(0.9643231630325317)
socket,remoting(0.96681147813797),memory management(0.9634058475494385),socket programming(0.9633452892303467),apache wicket(0.9580671787261963),jcl.(0.9576820135116577)
multithreading,architectures(0.9767624735832214),java 6(0.9748846888542175),object - oriented(0.9694192409515381),apis(0.9660454392433167),spring framework(0.9656068086624146)
computer networks,manual testing.(0.9727621078491211),asic(0.9708672761917114),oscilloscope(0.9708181619644165),hardware design(0.970392107963562),device drivers(0.9697619676589966)
painting,good listener(0.9707123637199402),writing.(0.9590720534324646),sincere(0.9563297033309937),good leadership qualities(0.9539324045181274),team spirit(0.9507803916931152)
firmware,sco(0.9834883213043213),vax(0.9795688986778259),unix systems(0.9788904190063477),eln(0.9779060482978821),fedora(0.976061999797821)
bug fixing,server side(0.9432114958763123),web application development(0.8627506494522095),web application(0.8443251252174377),implementing business(0.8336661458015442),web based(0.8299526572227478)
it - software,software services(0.9663814306259155),first aid(0.9605650901794434),staad - pro(0.9583150744438171),mathematics(0.9583133459091187),digital electronics(0.9539175629615784)
software services,it - software(0.9663814306259155),staad - pro(0.9594639539718628),g c(0.9515805244445801),dxp(0.9431354999542236),plc(0.9428353905677795)
embedded,embedded systems(0.9772974848747253),vlsi(0.9578242301940918),punctual(0.941633403301239),embedded c(0.937820315361023),embedded system(0.9329686760902405)
eda,electrical wiring(0.9921438694000244),civil engineering(0.9903261065483093),maths(0.9899539351463318),sales skills(0.9895880222320557),autodesk inventor(0.9895280599594116)
vlsi,embedded systems(0.9941272139549255),punctual(0.9630436897277832),embedded(0.957824170589447),embedded c(0.9461504817008972),linux device drivers(0.9410838484764099)
asic,mp3(0.9841077327728271),fpga(0.9807792901992798),driver development(0.9804255962371826),circuit design(0.9794706702232361),oscilloscope(0.9776414036750793)
des.,hardware development(0.6628293395042419),change management(0.6568229794502258),test scenarios.(0.6554292440414429),retail business(0.6511592864990234),problem management(0.6510814428329468)
embedded c,vlsi(0.9461503624916077),embedded systems(0.9442565441131592),linux device drivers(0.9438048601150513),vhdl(0.9396682977676392),embedded(0.9378201961517334)
i2c,gsm(0.9890304803848267),spi(0.9876887202262878),arm(0.9816182851791382),cdma(0.9791008234024048),communication protocols(0.9779733419418335)
spi,mp3(0.9926907420158386),communication protocols(0.9917837977409363),capl(0.9893885850906372),vulnerability assessment(0.9878197908401489),i2c(0.9876886010169983)
"sql , pl","sql , pl / sql(0.9668933749198914)",pl / sql(0.9598031640052795),oracle pl / sql(0.9595081806182861),rdbms(0.9592652320861816),sybase(0.9505754113197327)
sql.,database : sql(0.9086746573448181),script language(0.9080832004547119),cgi(0.898257315158844),"sql , pl / sql(0.8981086611747742)",oops concept(0.8970683217048645)
pl / sql.,cursors(0.9508249759674072),ms - access.(0.9268655180931091),ddl(0.9200984835624695),t - sql(0.915930986404419),creating database(0.9126437306404114)
cursors,sql * plus(0.9538589715957642),pl / sql.(0.9508249759674072),teradata(0.944085419178009),stored procedure(0.9390323758125305),sql loader(0.9327805638313293)
sql * loader,datapump(0.9834430813789368),rman(0.9743083715438843),dba(0.9709323644638062),dbca(0.9561325907707214),oracle rdbms(0.9552659392356873)
sql loader,database administration(0.9825460314750671),informatica power center.(0.9760486483573914),etl tool(0.9748934507369995),dts(0.9733957052230835),dba(0.9726696014404297)
oracle database administration.,database creation(0.9610580205917358),oracle database administration(0.958723247051239),rac(0.9361960291862488),import(0.9293171167373657),dba(0.9292934536933899)
oracle database,sybase(0.9535512328147888),oracle sql(0.949432909488678),oracle databases(0.9446818232536316),relational database(0.9421440362930298),oracle 11g(0.9414612054824829)
administration.,disaster recovery(0.980224609375),capacity planning(0.9773499369621277),emc avamar(0.975548505783081),unisphere(0.9753378629684448),system support(0.9749848246574402)
database administration.,database creation(0.903749406337738),windows system administration(0.9031354784965515),oracle payroll.(0.8903193473815918),oracle apps(0.8900572061538696),oracle database administration.(0.8711909651756287)
database creation,oracle apps(0.9671138525009155),oracle database administration(0.9650169014930725),oracle dba(0.9616017937660217),oracle database administration.(0.9610580205917358),import(0.9585943818092346)
schemas,schema(0.9650442600250244),informatica powercenter(0.964624285697937),extraction(0.9631792306900024),datastage(0.9579818248748779),snow flake schema(0.9544653296470642)
project tracking,pmlc(0.9804988503456116),smooth functioning(0.9801540374755859),soil mechanics(0.9794550538063049),content development(0.9790880680084229),professional manner(0.9787948131561279)
positive attitude,soft skills(0.964547872543335),adaptability(0.9467753171920776),self motivation(0.9291989803314209),goal oriented(0.9176558256149292),problem solving abilities(0.9136526584625244)
highly organized,multi - tasking(0.9728829264640808),handle multiple projects(0.9695484042167664),smart working(0.9694368243217468),written and oral communication(0.9687662124633789),strong communication skills(0.9685496091842651)
multi - tasking.,establishing rapport(0.9376291632652283),convincing power(0.9364669322967529),results driven(0.935887336730957),achieving results(0.9332718253135681),goal - oriented(0.9326297044754028)
creative,innovative(0.9370388984680176),excellent organizational skills(0.9289426803588867),result - oriented(0.921295702457428),management skills(0.9193681478500366),enthusiastic(0.9095607399940491)
good communication skills,communication skills.(0.9298456311225891),good analytical skills(0.9268671274185181),active learning(0.9259825944900513),work ethics(0.9220271110534668),good communication(0.9105989933013916)
people management.,software / engineering(0.8936745524406433),incident investigation(0.8471322059631348),"manufacturing , quality(0.8320830464363098)",blockchain technology(0.8269698619842529),growth strategies(0.8014404773712158)
action plans,result - oriented(0.8801179528236389),communications skills(0.8791505098342896),motivation(0.8722244501113892),administrative skills(0.864047646522522),problem - solving(0.8607968091964722)
solve problems.,speaking skills(0.7081887722015381),target - oriented individual(0.7078070044517517),verbal communication.(0.6952438354492188),streamlining of processes(0.6730281710624695),lua(0.6722835302352905)
integrity,flexibility(0.9698246121406555),honesty(0.9525917172431946),data integrity(0.9200673699378967),real estate(0.9178670644760132),mean stack(0.9110932350158691)
administrative skills.,result oriented attitude(0.8139700889587402),problem solving ability(0.7770026922225952),quality delivery.(0.7711683511734009),lead sales(0.7674707174301147),team focused(0.7627874612808228)
administrative,negotiation(0.9875822067260742),current market trends(0.9848486185073853),customer service(0.9838013052940369),patient care(0.9836963415145874),management reporting(0.981245219707489)
conflict resolution,administrative tasks(0.9904268980026245),phone etiquette(0.9888257384300232),people management(0.9850904941558838),motivating(0.9832334518432617),written communication skills(0.98280268907547)
excellent communication skills,oral(0.9928075671195984),leadership skills(0.9886289834976196),time management(0.9881042242050171),organizational skills(0.9839259386062622),creativity(0.9804069995880127)
resourcing,cu(0.9841322302818298),commissioning.(0.9786451458930969),signal(0.9783066511154175),plc.(0.9748836755752563),calibration.(0.9747081398963928)
monetary,performance analysis(0.9746876955032349),housing(0.9676759839057922),design thinking(0.9671468138694763),survey(0.9668452143669128),data management(0.9659873247146606)
release management,cmmi(0.9583305716514587),agile.(0.9518763422966003),requirement specifications.(0.9499632120132446),project life cycle(0.945751965045929),project delivery(0.9449176788330078)
client server,object oriented design(0.9687451720237732),web - based applications.(0.9680060744285583),design pattern.(0.9533567428588867),lead teams(0.9448580741882324),enterprise applications(0.9415130615234375)
ejb.,agile development process(0.9596081972122192),online panels(0.8932899832725525),ejb 3.0(0.8529946208000183),struts 1.x(0.8424931168556213),osgi(0.8406506776809692)
development process,sequence diagrams(0.9596092700958252),design pattern(0.9584152102470398),csrf(0.9516885280609131),log4j.(0.9513940215110779),kanban(0.9473835229873657)
ic,io(0.9627631902694702),adapters(0.9553432464599609),fp(0.9537180066108704),jax - rpc.(0.9526696801185608),sap portal(0.947120726108551)
"oracle , sql",pl / sql(0.9398956298828125),"sql , pl(0.9352994561195374)",my sql server(0.93427973985672),rdbms concepts(0.9283995628356934),rdbms(0.921434760093689)
telecom billing,nwds.(0.8544281125068665),"aws , s3(0.7959234714508057)",agile development process(0.7704830169677734),sap po(0.7622329592704773),ci / cd process(0.7600765228271484)
gaming,marketing teams(0.9589077830314636),"engineering , sales(0.9586660861968994)",conducting competitor analysis(0.9581156969070435),business opportunities.(0.9546037316322327),vendor relations(0.9538450241088867)
aerospace,pre - sales(0.927314817905426),p & l management(0.9118315577507019),agency partners.(0.9105132818222046),asp. net(0.9104152321815491),b2b(0.9101164937019348)
communicating,data gathering(0.9928614497184753),quality management(0.9804330468177795),customer facing(0.9802334308624268),business process re - engineering(0.9767944812774658),element management system(0.9714500308036804)
motivation,time management skills.(0.965661883354187),fire protection system(0.9624369144439697),initiative(0.952735960483551),effective communication(0.952414870262146),time management skill(0.9518646001815796)
java swing,j2se(0.9271425604820251),jdbc(0.9165099263191223),test driven development(0.9124560952186584),jms(0.8996521830558777),jee(0.8866726756095886)
srs,brd(0.9893643856048584),development teams(0.981941819190979),business requirement documents(0.9758006930351257),analyzing business(0.9743392467498779),bpmn(0.9730861783027649)
dfd,hld(0.9646970629692078),dld(0.9640419483184814),software product(0.9488930702209473),distributed systems(0.9462335705757141),poc(0.9394887089729309)
hld,td(0.9800812602043152),dld(0.9721361994743347),dfd(0.9646972417831421),azure devops(0.9639658331871033),business process mapping(0.9624296426773071)
dld,hld(0.9721361398696899),td(0.971769392490387),dfd(0.9640419483184814),systems design(0.9639496803283691),sds(0.9526851773262024)
td,hld(0.9800812602043152),systems design(0.9738852977752686),saas(0.9731641411781311),dld(0.971769392490387),performance data(0.9669562578201294)
sds,pivotal(0.9686114192008972),cloudformation(0.9642520546913147),web services development(0.9547087550163269),dld(0.9526851773262024),sqs(0.9518213868141174)
oo design,aws cloud.(0.9358996152877808),ecs(0.9265549778938293),foundry(0.9198616147041321),rabbit mq(0.9183162450790405),jvm(0.9169409275054932)
oops,object oriented(0.9409129023551941),programming concepts(0.939738929271698),object oriented programming(0.934402585029602),ood(0.9187179207801819),uml(0.9142389893531799)
oo,digital electronics(0.9551202058792114),a a(0.9324014782905579),graph.(0.91695636510849),dxp(0.914645791053772),supervised learning(0.9145957231521606)
mac.,.net framework 4.6(0.7809571623802185),windows server 2012 r2(0.7650731205940247),mongodb.(0.7497555017471313),object - oriented - javascript(0.7455615997314453),odbc(0.7410093545913696)
j2se,jdbc(0.9430244565010071),jsp(0.940006673336029),servlets(0.9361197352409363),servlet(0.9354947805404663),struts(0.9348987340927124)
oracle 8i,server management(0.9800055623054504),ms sql server(0.9727582335472107),microsoft sql server(0.957362949848175),oracle sql(0.9555327296257019),sybase(0.9523479342460632)
sybase.,adso(0.8990359902381897),oracle pl(0.8948823809623718),"jcl , cobol(0.8898642659187317)",business intelligence solutions(0.8880264759063721),ims db(0.8872795701026917)
webservices,jee(0.9582592844963074),"java , servlet(0.9551666975021362)",hibernate(0.9545153975486755),jms(0.952326774597168),java messaging(0.9507555961608887)
orm technologies,jms(0.9665419459342957),jndi(0.9658591151237488),enterprise application(0.9528162479400635),java messaging(0.9486491680145264),jmx(0.9476048946380615)
orm,netbeans(0.9395493865013123),web frameworks(0.9229440093040466),jee(0.9201831221580505),hibernet(0.9198498129844666),jms(0.9175888895988464)
web servers,tomcat(0.9668546319007874),web logic(0.9628412127494812),web sphere(0.961417555809021),apache tomcat(0.946301281452179),weblogic(0.946159839630127)
jetty.,ibm rational application developer.(0.9709175825119019),websphere message broker(0.9705687165260315),websphere mq(0.9691969156265259),websphere application server(0.9668732285499573),load - balancer(0.9639909863471985)
glassfish.,jasper(0.9571587443351746),tivoli(0.9529052376747131),batch processing(0.9498289823532104),java struts(0.9465890526771545),atg(0.9453200101852417)
ides,ibm rational application developer(0.9689797163009644),web / application(0.9673392176628113),wsad(0.9664523005485535),jboss(0.9653250575065613),intellij(0.9592515826225281)
intellij idea,rational application developer(0.9728391766548157),jdeveloper(0.9702205657958984),glassfish(0.9681798219680786),ibm rsa(0.9613276124000549),ibm rad(0.9535212516784668)
jmeter.,specflow(0.9762138724327087),rtrt(0.9685327410697937),application security(0.966568112373352),mobile technologies(0.9624437689781189),ide.(0.9613437056541443)
intellij,rad(0.9801220893859863),ibm rad(0.9699592590332031),web / application(0.9643340110778809),eclipse(0.9639994502067566),net beans(0.9609363079071045)
"maven , ant",bitbucket(0.9543251395225525),mantis(0.9357119798660278),jenkins(0.9277873039245605),apache poi(0.9233001470565796),build tool(0.9198126792907715)
redmine,iseries(0.9611332416534424),ticketing tool(0.954925000667572),serena(0.94806969165802),cdc(0.9470502734184265),control management(0.9378950595855713)
mantis,bug tracking tools(0.9565191864967346),bug tracking(0.9540194869041443),fiddler(0.9518744349479675),clear quest(0.9517830014228821),alm(0.9500870108604431)
serena,adobe elearning suite(0.9682448506355286),ticketing tool(0.967779278755188),cacti(0.9570062160491943),xmlspy(0.9566396474838257),hp service manager(0.9544558525085449)
spring.,hibernate.(0.9463801383972168),spring boot.(0.9391611218452454),thread(0.9375909566879272),design principles.(0.9352479577064514),server side programming(0.9335081577301025)
apache activemq.,emc celerra(0.9526749849319458),rpm(0.9515741467475891),security management(0.9513028264045715),emc vnx(0.9494415521621704),vmax(0.9478814601898193)
activemq.,lsf(0.9252601861953735),webserver(0.9232191443443298),postfix(0.9211255311965942),apache server(0.9174055457115173),eap(0.9146153330802917)
cash management,account reconciliation(0.9893877506256104),r2r(0.9892702102661133),finalization(0.9882816672325134),gaap(0.9881357550621033),balance sheet(0.98692387342453)
business relationships.,cross - functional(0.9169168472290039),mentoring(0.9066335558891296),multiple projects(0.9061559438705444),process flows.(0.8982838988304138),communicating(0.8960804343223572)
customer queries,business strategy(0.9910041093826294),customer delight(0.9906653165817261),business acumen(0.9898998737335205),scientific(0.9895131587982178),client servicing(0.9894822835922241)
improving relationships,"customers , requirements(0.7511399984359741)",handling multiple projects(0.7409345507621765),business discussions(0.7383684515953064),data archiving(0.7377610802650452),organizational leadership(0.7332435250282288)
technical teams,development framework(0.9805269837379456),product information(0.9776387214660645),graphs(0.9755481481552124),process re - engineering(0.9742144346237183),technical issues.(0.9694356918334961)
interpersonal skills,interpersonal(0.9770214557647705),self - starter(0.9700490236282349),minimal supervision(0.9668664932250977),team player(0.9661105275154114),problem solving skills.(0.9575865268707275)
spring cloud,docker compose(0.9607206583023071),hystrix(0.9559788703918457),cloud foundry(0.9542889595031738),amazon web service(0.948600709438324),microservice(0.9469466209411621)
active mq,jdbc template(0.9243866801261902),ci / cd process(0.9205278754234314),h2(0.9192050099372864),hystrix(0.9160746932029724),orm tools(0.9109776616096497)
restful,rest api(0.9594802260398865),oauth(0.9594767093658447),dropwizard(0.9564026594161987),hibernate orm(0.9498103857040405),web services(0.9399803876876831)
web services.,spring mvc framework(0.9686089754104614),cache(0.9625981450080872),ioc(0.9596341848373413),service oriented architecture(0.9569627642631531),ambari(0.9566442966461182)
ach,centricity(0.982073187828064),vertriebsstrategien(0.9810501933097839),food & beverage(0.9784841537475586),pci(0.9771366119384766),cadence(0.976859450340271)
us banking,closing management(0.6841428875923157),fixed asset(0.682357132434845),clm(0.677017867565155),order to cash.(0.6767451763153076),monetization(0.6588205099105835)
nacha,financial models(0.7036657333374023),variance analysis.(0.7007339596748352),mrp.(0.6907783150672913),supporting projects(0.6906769871711731),mis.(0.6871704459190369)
customer interaction,product development.(0.9773256182670593),commodities(0.9703704118728638),ems(0.9695587158203125),sales channels(0.9690367579460144),profit growth(0.9683817625045776)
production support,"design , design(0.936702311038971)",application functions(0.9330725073814392),code management(0.9156473875045776),production(0.9126808643341064),telecom domain(0.9108514189720154)
jpa,hibernate(0.9870262145996094),ejb(0.9817392826080322),jsf(0.9814355373382568),spring mvc(0.9795030355453491),spring - ioc(0.9705036282539368)
jms,ejb(0.9681577086448669),jpa(0.9669967889785767),jndi(0.9668677449226379),orm technologies(0.9665418863296509),awt(0.9620383381843567)
mq,jetty(0.9628509879112244),weblogic server(0.9613472819328308),websphere(0.9525419473648071),mq series(0.9478397369384766),websphere application(0.944715678691864)
aix,ibm aix(0.9886628985404968),sun solaris(0.9846398830413818),red hat linux(0.9810070991516113),rhel(0.9727128148078918),solaris(0.9718435406684875)
corba,asm.(0.9854086637496948),jrun(0.9802172780036926),solaris.(0.977607786655426),imp(0.9774159789085388),algol(0.9764539003372192)
tuxedo,static data(0.9732364416122437),data loader(0.9727805852890015),birt(0.9718736410140991),pip(0.9711875319480896),corba(0.9697525501251221)
stl,remoting(0.9658316969871521),oracle ( pl / sql(0.9634993076324463),asp 3.0(0.9626069664955139),adapter(0.9625290632247925),desktop development(0.9613860845565796)
"oracle 10g , 11g",cobol.(0.958378255367279),databases.(0.957127571105957),transact sql(0.953544557094574),rexx(0.9531142115592957),postgresql.(0.9525488018989563)
mq series,sso(0.961262583732605),websphere application(0.9579243063926697),rational software architect(0.9554515480995178),jasper reports(0.9526942372322083),ldap(0.9512355923652649)
sdk,server technologies(0.9538040161132812),socket(0.9433392286300659),opc(0.9421519637107849),apache wicket(0.9414811730384827),backbonejs(0.9400426745414734)
oracle 10g,server management(0.9553394913673401),oracle 8i(0.9513100385665894),workbench(0.9488317370414734),oracle sql(0.946122407913208),oracle 11g(0.946107804775238)
microsoft office,power point(0.9757772088050842),"excel , powerpoint.(0.9694379568099976)",ms excel(0.9628457427024841),"excel , power point(0.9606444239616394)",microsoft powerpoint(0.9597326517105103)
outlook,microsoft word(0.9695207476615906),powerpoint(0.965710461139679),ms office suite(0.9615547060966492),ms outlook(0.9614813923835754),microsoft excel(0.9534925818443298)
uml design,odbc(0.8554824590682983),obi(0.8377430438995361),jfc(0.8152846693992615),architectures.(0.7901555895805359),oracle 9i(0.7653440833091736)
r2,visual basic 6(0.9605063199996948),transact sql(0.9547544121742249),reporting services(0.9526941180229187),r2.(0.951135516166687),rexx(0.950742781162262)
multi - threading,enterprise application(0.9645297527313232),jndi(0.9535977840423584),restful services(0.9487475752830505),log4j(0.9466289281845093),jaxb.(0.941470742225647)
jax,jaxp(0.9793141484260559),wsdl(0.97878098487854),restful web services(0.977134108543396),xsd(0.9713220000267029),rabbitmq(0.9708474278450012)
jrun,corba(0.9802173972129822),algol(0.975682258605957),ale / idoc.(0.9731245636940002),tip(0.9719420075416565),rsync(0.971643328666687)
"oracle ( 10g , 11g",sql plus(0.7742480039596558),odbc(0.7496383786201477),dbvisualizer(0.7376607060432434),"scripts , java(0.7369124889373779)",obi(0.7306303381919861)
oracle ( 10g,jconsole(0.8842456936836243),ireport(0.8513849973678589),"oracle , plsql(0.8439565300941467)",ant(0.8350577354431152),"selenium , webdriver(0.8329122066497803)"
starteam,visual source safe(0.9828161597251892),perforce(0.963443398475647),harvest(0.963428258895874),cvs(0.9424268007278442),visualizer(0.9321407079696655)
jenkin,gradle(0.9837954044342041),splunk(0.9652566313743591),build tool(0.9554786682128906),clearcase(0.9498738050460815),build management tools(0.9468919634819031)
coe,frm(0.990960955619812),sme(0.987932026386261),service delivery(0.9861655235290527),budget planning(0.9857704639434814),it governance(0.9856889843940735)
delivery management,rfp(0.9853909015655518),investments(0.9827214479446411),rfi(0.9797645807266235),business operation(0.9791679978370667),senior professional(0.9780846834182739)
defect management,defect reporting(0.9864939451217651),white box testing(0.9849783778190613),defect life cycle(0.9836998581886292),automated testing(0.9818958640098572),test automation framework(0.9808926582336426)
iso standards,process re - engineering(0.9735358357429504),otc(0.9645200371742249),cfd(0.9607304930686951),advent geneva(0.9606927037239075),pds(0.96043461561203)
cmmi,business processes(0.9594389200210571),cmm(0.9586641192436218),release management(0.958330512046814),project life cycle(0.9557795524597168),converge(0.9502636790275574)
sei,anti money laundering(0.9795913100242615),healthcare domain(0.9635227918624878),trade execution(0.9622846245765686),program management(0.9583262801170349),retail banking(0.9573953747749329)
iso,lean manufacturing(0.9936266541481018),risk management(0.9906395673751831),kpis(0.9898169636726379),team leadership(0.9857802987098694),product planning(0.9849838018417358)
people management skills,requirement analysis.(0.9858046174049377),quality improvement(0.9771611094474792),multitasking.(0.9761898517608643),manufacturing.(0.975446879863739),creative thinking(0.9751891493797302)
people management,coaching(0.9884230494499207),budget management(0.9880481362342834),client relations(0.9877398014068604),motivating(0.9867911338806152),team management(0.9865726828575134)
management skills,interpersonal abilities(0.9692776203155518),written and verbal communication(0.9442161321640015),result - oriented(0.9378707408905029),time management(0.9347369074821472),verbal(0.9334774613380432)
building relationships,standard operating procedures(0.9815613627433777),exceptional customer service(0.9803917407989502),team building(0.9746031165122986),customer service - oriented(0.9742021560668945),decision making(0.9735345840454102)
metrics driven,user - interface design(0.8190149068832397),data - structures(0.814138650894165),angularjs framework(0.8020881414413452),design principles(0.8016303181648254),user experience design(0.7902306914329529)
project delivery,project life cycle(0.9789694547653198),development teams(0.9781330823898315),technology solutions(0.9746463298797607),brd(0.9673455357551575),sprint retrospective(0.9666202068328857)
development cycle,zend(0.9671534895896912),customer relations.(0.95291668176651),creative design(0.9517651796340942),php framework(0.9448148608207703),corporate clients.(0.9298895597457886)
product development,quality management(0.9718201160430908),develop solutions(0.9693483710289001),communicating(0.966708242893219),team leadership(0.9664168953895569),resource allocation(0.965376079082489)
automation frameworks,mobile automation(0.9856237173080444),automation scripts(0.9844302535057068),qtp(0.9800617098808289),automated testing(0.9780992865562439),test automation(0.9780760407447815)
data - driven,acceptance testing.(0.9669310450553894),functional requirements(0.9619631767272949),analyzing business(0.9583995938301086),test cases.(0.9561924934387207),"mobile , web(0.9543489217758179)"
pom,mobile app testing(0.9759663343429565),automation tool.(0.9708147048950195),manual test(0.9664061069488525),test suites(0.9655874967575073),rest api automation(0.964925229549408)
negotiation,new business development(0.9883502125740051),current market trends(0.9882280230522156),relationship building(0.9880265593528748),administrative(0.9875821471214294),nursing(0.9871190190315247)
communication skills.,quick learning(0.9793062806129456),good communication(0.97645503282547),work ethics(0.9735565781593323),presentation skills.(0.9662273526191711),good team player.(0.9662067890167236)
test management,defect tracking(0.9745911955833435),loadrunner(0.970800518989563),qtp(0.9702886939048767),automation frameworks(0.9691257476806641),automated testing(0.9683264493942261)
agile / scrum,agile(0.9651016592979431),software development lifecycle(0.9611488580703735),scrum(0.9582880139350891),waterfall(0.9466513991355896),agile methodologies(0.9349810481071472)
